,file,sux_sentence,eng_tranlation_reference,eng_rule_based_translation,eng_nn_based_translation,rule_bleu,nn_bleu
0,P320163.conll,pisan-dub-ba mu 2(disz) sze-ba giri3-se3-ga ugnim{ki} i3-gal2 mu ki-masz{ki} , basket of tablets years of rations personnel of ugnim are here year kima,filing_basket one year ration attendant xxx life in year Kimasz,basket of tablets 2 years of the barley rations are here year kima was destroyed,4.277115991311694,59.694917920196445
1,P125272.conll,usz2 ur-sila-luh 1(asz@c) gan2 e2-ur2-bi-du10 ugula 1(asz@c) gan2 giri3-ni-i3-sa6 dumu-ni-me 1(asz@c) gan2 ur-{d}gesztin-an-ka 1(disz) lu2-{d}sukkal-an-ka dumu-ni-me tir ki-sur-ra i3-dab5 1(asz@c) 1(barig) 1(ban2) 5(disz) 4(disz) ug3 du11-ga-ni tir szu-na-mu-gi4 i3-dab5 1(asz@c) gan2 inim-{d}szara2 1(disz) lugal-inim-gi-na dumu-ni tir a-kun-kum2 i3-dab5 szu ur-ab-ba 1(asz@c) gan2 lu2-{d}szara2 dumu-ni tir ka-ma-ri2{ki} i3-dab5 usz2 lugal-iti-da 1(asz@c) gan2 lu2-gi-na 1(asz) a-hu-ba-qar usz2 lu2-{d}szara2 1(disz) a-ta2-na-ah dumu-ni-me tir a-sza3 am3-ri2 i3-dab5 1(asz@c) gan2 lu2-{d}ab-u2 1(asz) lu2-eb-gal 1(disz) lu2-{d}en-ki-du dumu da-a-da-ga tir u2-la2{ki} i3-dab5 1(asz@c) gan2 ug3 a-du-du 1(disz) lugal-ku3-zu dumu-ni tir {gesz}kiri6-mah i3-dab5 1(asz@c) nu gan2 inim-ma-ni-zi 1(asz) nu ur-e2-mah 1(disz) nu {d}utu-saga 1(disz) nu ur-{d}ur3-bar-tab dumu-ni-me tir i7 dul4-la i3-dab5 1(asz@c) sza3-gu2-bi zah3 tir a-sza3 {d}szara2-si i3-dab5 1(asz@c) gan2 ur-e2-masz dumu ur-sila-luh tir da-gu-na i3-dab5 ugula e2-ur2-bi-du10 1(asz@c) gan2 szesz-kal-la ugula 1(disz) inim-ma-ni-zi dumu-ni 1(asz@c) gan2 lugal-hi-li 1(asz) {d}szara2-zi-da 1(disz) lu2-{d}ab-u2 dumu al-lu-me tir e2-lugal i3-dab5 1(asz@c) gan2 a-kal-la dumu ur-tul2-mah 1(disz) giri3-ni-i3-sa6 dumu-ni tir kar-ra i3-dab5 1(asz@c) gan2 szesz-kal-la 1(asz) lugal-he2-gal2 dumu-ni tir ma-sar i3-dab5 1(asz@c) gan2 lu2-dingir-ra dumu ur-lugal tir tu-ru-da i3-dab5 1(asz@c) gan2 ug3 lugal-he2-gal2 dumu ur-gu 1(disz) lu2-{d}nin-a-zu dumu-ni tir nag-su{ki} i3-dab5 1(asz@c) gan2 lugal-za3-ge 1(disz) lu2-{d}nanna dumu-ni tir gir13-gesz{ki} i3-dab5 1(asz@c) gan2 ur-nigar{gar} 1(disz) a2-ta dumu-ni tir inim-e3 i3-dab5 szu ab-ba-saga tir bala-a-ti-im-durunx(|ku.ku|) i3-dab5 1(asz@c) gan2 {d}szara2-kam tir ki-sur-ra adab{ki} i3-dab5 1(asz@c) gan2 ba-an-sa6 1(disz) ur-sukkal dumu-ni tir zabala3{ki} i3-dab5 ugula szesz-kal-la 1(asz@c) gan2 ug3 ur-{gesz}gigir tir i7 gal-la i3-dab5 szu ur-{d}szara2 dumu arad2 1(asz@c) gan2 lu2-he2-gal2 1(asz) ha-la-{d}ma-mi usz2 lu2-dingir-ra 1(disz) lugal-nesag-e dumu-ni-me tir gar-sza-na-ka{ki} i3-dab5 1(asz@c) gan2 ur-{d}szara2 dumu i-di3-a tir erin2-gar-sza-na-ka{ki} i3-dab5 1(asz@c) gan2 ug3 lu2-ga 1(asz@c) gan2 ur-{d}dumu-zi-da dumu ur-mes tir sza3-nin9-ti-na i3-dab5 1(asz@c) gan2 sza3-ku3-sig17 1(asz) ur-nigar{gar} 1(disz) lu2-eb-gal dumu-ni-me tir gaba-ri-gar-sza-na-ka i3-dab5 tir ma2-szuku-diri gu2 i7 nam-ha-ni i3-dab5 1(asz@c) gan2 ba-an-sa6 1(disz) arad2-{d}szara2 dumu-ni dumu ha-an-da nu-{gesz}kiri6 tir uku2-nu-ti gu2 i7 {d}szul-gi-he2-gal2 i3-dab5 1(asz@c) gan2 ab-ba-gi-na dumu ur-nigar{gar} dumu da-a-a im-e tak4-a tir iri-bu3-ra i3-dab5 1(asz@c) gan2 lal3-mes tir a-du10-ga-nigin i3-dab5 1(asz@c) gan2 a-bu-du10 tir gar-su4-da i3-dab5 1(asz@c) gan2 lugal-da-ga usz2 ama-ki pa4 ur-nigar{gar} dumu ur-{d}isztaran tir gan2-masz{ki} i3-dab5 ugula ur-{d}szara2 szunigin 3(asz@c) gan2 gurusz ugula szunigin n dumu-nita2 diri szunigin 1(disz) dumu-nita2 szunigin 1(disz) gurusz szu-gi4 ugula i3-dab5 szunigin 2(u@c) 3(asz@c) gan2 gurusz szunigin 1(asz@c) gurusz nu-dab szunigin 5(asz) dumu-nita2 szunigin 1(u) 1(disz) dumu-nita2 szunigin 2(disz) gurusz szu-gi4 szunigin 1(asz@c) gurusz zah3 szunigin 1(asz) gurusz nu-dab szunigin 2(disz) dumu-nita2 nu-dab szunigin 4(asz@c) gan2 ug3 gurusz szunigin 1(asz@c) ug3 gurusz 1(barig) 1(ban2) 5(disz) sila3 sze 4(disz) ma-na siki-ta szunigin 2(disz) dumu-nita2 ug3-il2-me sze-bi 1(barig) 1(ban2) 5(disz) sila3 iti-da be6-dam siki-bi 4(disz) ma-na mu-a be6-dam gurum2 ak erin2 dab-ba lu2 tir-ra a-a-kal-la ensi2 umma{ki} giri3 sza3-ta-ku3-zu sukkal lu2-{d}inanna sukkal u3 lu2-{d}nanna dumu inim-{d}szara2 iti ezem-{d}dumu-zi mu en-nun-ne2-{d}amar-{d}suen-ra-ki-ag2 en eridu{ki} ba-hun , dead ur silalu a c  field e urbidu a foreman a c  field girini isa  they are his sons  a c  field ur getinanka di  lu sukkalanka  they are his sons  the border woods took in charge a c  barig ban porter dugani the szunamugi woods took in charge a c  field inim szara di  lugal inim gina his son the akunkum woods took in charge old ur abba a c  field lu szara his son the kamari woods took in charge dead lugal itida a c  field lu gina a  au baqar dead lu szara di  atanna  they are his sons  the amri field woods took in charge field lu abu lu ebgal lu enkidu  sons of dayadaga  the ula woods took in charge a c  field porter adudu di  lugal kuzu his son the big orchard woods took in charge a c  field inimanizi a  ur ema di  utu saga di  ur urbartab  they are his sons  the dula waterway woods took in charge a c  szagubi flown the szarasi field woods took in charge a c  field ur ema son of ur silalu the daguna woods took in charge foreman e urbidu a c  field szekalla foreman di  inimanizi his son a c  field lugal ili a  szara zida di  lu abu  they are sons of allu  the royal house woods took in charge a c  field akalla son of ur tulma di  girini isa his son the quay woods took in charge a c  field szekalla a  lugal egal his son the masar woods took in charge a c  field lu dingira son of ur lugal the turuda woods took in charge a c  field porter lugal egal son of ur gu di  lu ninazu his son the nagsu woods took in charge a c  field lugal zage di  lu nanna his son the girge woods took in charge a c  field ur nigar di  ata his son the inime woods took in charge old abba saga the balaatimdurun woods took in charge a c  field szara kam the kisura of adab woods took in charge a c  field bansa di  ur sukkal his son the zabala woods took in charge foreman szekalla a c  field porter ur gigir the big waterway woods took in charge old ur szara son of arad a c  field lu egal a  ala mami dead lu dingira di  lugal nesage  they are his sons  the garana woods took in charge a c  field ur szara son of idia the troops of garana woods took in charge a c  field porter luga a c  field ur dumuzida son of ur mes the midst of nintina woods took in charge a c  field szakusig a  ur nigar di  lu ebgal  they are his sons  the copy of garana woods took in charge the extra prebend boat woods bank of namani waterway took in charge a c  field bansa di  arad szara his son son of anda orchardman the ukunuti woods bank of szulgi egal waterway took in charge a c  field abba gina son of ur nigar son of dayya remainder of preceding year the bura town woods took in charge a c  field lal mes the aduganigin woods took in charge a c  field abu tab the garsuda woods took in charge a c  field lugal daga dead ama ki oldest brother of ur nigar son of ur itaran the ganma woods took in charge foreman ur szara field corporate slaves foremen total n extra male child total di  male child total di corporate slave old one the foreman took in charge total a c  field corporate slaves total a c  corporate slave not took in charge total a  male children total di  male children total di  corporate slaves old ones total a  corporate slave flown total a  corporate slave not took in charge total di  male children not passed by total a c  field porters corporate slaves total a  porter corporate slave at barig ban sila barley mana wool each total di  male children  they are porters  their barley barig ban sila to be distributed monthly their wool mana to be distributed yearly inspection of troops passed by as foresters ayakalla ensi of umma via szata kuzu sukkal lu inanna sukkal and lu nanna son of inim szara month dumuzi festival year ennune amar suenra kiag as priest of eridu was installed,dead Ur silaluh 1(towards his <n>@ c) gan2 Eurbidu overseer 1(towards his <n>@ c) gan2 Giriniisa theirs are his son 1(towards his <n>@ c) gan2 Urgesztinanka one for Lusukkalankak theirs are his son of forester took in n him 1(towards his <n>@ c) unit unit one day people for Dugani of forester from Szunamugi woods took in n him 1(towards his <n>@ c) gan2 Inimszara one Lugalinimgina his child of forester Akunkum woods took in n him hand of Urabba 1(towards his <n>@ c) gan2 for Luszara his child of forester of Kamari n him dead Lugalitida 1(towards his <n>@ c) gan2 Lugina one dead a Au baqar for Luszara one di Atanna theirs are his son of forester field Amri field woods took in n him 1(towards his <n>@ c) gan2 Luabu one Luebgal one Lu Enkidu child sons Dayadaga of forester Ula woods took in n him 1(towards his <n>@ c) gan2 people Adudu one of Lugalkuzu his child of forester Big orchard woods took in n him 1(towards his <n>@ c) not gan2 Inimanizi one not for Uremah one not Utu saga one not Ur Urbartab theirs are his son of forester river <np> he n him 1(towards his <n>@ c) for Szagubi <vblex> of forester field Szarasi field woods took in n him 1(towards his <n>@ c) gan2 Uremasz child Ur silaluh of forester Daguna woods took in n him overseer Eurbidu 1(towards his <n>@ c) gan2 of Szeszkala one overseer Inimanizi his child 1(towards his <n>@ c) gan2 Lugalhili one of a Szara zida one Luabu child they are sons Allu of forester of Royal house woods took in n him 1(towards his <n>@ c) gan2 of Akala child of Urtulmah one Giriniisa his child of forester harbor he n him 1(towards his <n>@ c) gan2 of Szeszkala one Lugalhegal his child of forester Masar woods took in n him 1(towards his <n>@ c) gan2 for Ludingira child Urlugal of forester Turuda woods took in n him 1(towards his <n>@ c) gan2 people Lugalhegal child Urgu one di Lu Ninazu his child of forester Nagsu woods took in n him 1(towards his <n>@ c) gan2 Lugalzage one Lunanna his child he n of forester of Girge woods took in 1(towards his <n>@ c) gan2 for Urnigar one Ata his child of forester Inime woods took in n him hand Abbasaga of forester of tax <n> clay durunx( |ku. ku|) he n him 1(towards his <n>@ c) gan2 Szarakam of forester he n took in of Adab 1(towards his <n>@ c) gan2 Bayansa one Ur sukkal his child of forester of Zabala n him overseer of Szeszkala 1(towards his <n>@ c) gan2 people of Urgigir of forester Big waterway woods took in river he n him hand Urszara child arad2 1(towards his <n>@ c) gan2 Luhegal one dead of a ala Mami for Ludingira one Lugalnesage theirs are his son he n of forester of Garana woods took in 1(towards his <n>@ c) gan2 Urszara child for Idia of forester troops of Garana woods took in n him 1(towards his <n>@ c) gan2 people Luga 1(towards his <n>@ c) gan2 of Urdumuzida child Urmes of forester Midst of Nintina woods took in n him 1(towards his <n>@ c) gan2 a c Szakusig one for Urnigar one Luebgal theirs are his son of forester Copy of Garana woods took in n him of forester yours Extra prebend boat woods bank Namani waterway took in bank river Namhani n him 1(towards his <n>@ c) gan2 Bayansa one arad2 Szara his child child of anda <n> of forester from Ukunuti bank river Ukunuti woods bank Szulgi egal waterway took in n him 1(towards his <n>@ c) gan2 Abbagina child for Urnigar child Dayya at <n> abandoned of forester Bura town woods took in n him 1(towards his <n>@ c) gan2 Lalmes of forester Aduganigin woods took in n him 1(towards his <n>@ c) gan2 a c Abu tab of forester Garsuda woods took in he n him 1(towards his <n>@ c) gan2 dead a c Lugal daga for Ama ki oldest brother for Urnigar child Uristaran of forester gan2 {goat} day n him overseer Urszara total 3(towards his <n>@ c) gan2 male overseer _ total male child unit one total male child one total male old overseer n him total 2( u@ c) 3(towards his <n>@ c) gan2 male total 1(towards his <n>@ c) male not passed by one total male child one total one male child one total male old total 1(towards his <n>@ c) male <vblex> one total male not passed by one total male child not passed by total 4(towards his <n>@ c) gan2 people male total 1(towards his <n>@ c) people male unit unit day sila one unit unit wool each a corporate slave at one total male child people il2 holding its barley unit unit day sila worker_category to be distributed yearly one its wool unit <n> to be distributed yearly did inspection seized people person of passed by as foresters Ayakala ruler of Umma foot Szatakuzu secretary Luinanna secretary and Lunanna child Inimszara unit in Ezemdumuzi year Ennune Amar Suenra kiag as priest of Eridug was hired,the masarwoods took in charge 1 aworker luebgal 1 diworker luenkidu sons of dayadaga,22.225439287256297,2.3613151213626525e-21
2,P416458.conll,4(disz) ki szu-{d}idim-ta mu-kux(du) iti ezem-{d}nin-a-zu mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 gu4 1(u) la2 1(disz@t)-kam ba-hul 3(disz) ab2 6(disz) dusu2-nita2 4(disz) dusu2-munus szu-gi4 , oxen cows male equids female equids old from szu idim delivery month festival of ninazu year simurum and lulubu for th time were destroyed,one day from Szu Idim year kux(went ) unit Ezemninazu year Simurrum and Lulubu times one ox unit semolina one place one cow male equids one jennies old,4 dur3jacks 6 eme6jennies 2 bucks,13.816688716197637,0.0
3,P107372.conll,pisan-dub-ba kiszib3 didli masz-x-x e2 lu2-gi-na-ta de6-a i3-gal2 , basket of tablets sealed documents varied from house of lugina delivered are here,filing_basket several unit sealed documents varied brought house of Lugina he life in,basket of tablets sealed documents varied from the house of lugina delivered,34.53464461584032,81.97469860440661
4,P101172.conll,"5(disz) sila3 kasz saga 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga ba-... 5(disz) sila3 kasz saga 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga {d}utu-... 5(disz) sila3 kasz saga 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga lu2-du10-ga 5(disz) kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga ...-x-al-x-... 5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 lu2-{d}x 5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga s,a-al-li2-a 5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga ur-{d}ba-ba6 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3! 2(disz) gin2 naga hu-la-ni-a 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga ha-ab-lu-lu 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga suhusz-gi 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga szu-{d}inanna 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga sza3-mu szunigin 1(ban2) 5(disz) sila3 kasz saga szunigin 3(ban2) 5(disz) sila3 kasz du szunigin 4(ban2) 5(disz) sila3 ninda szunigin 1(disz) sila3 szum2 szunigin 1/2(disz) sila3 6(disz) gin2 i3 szunigin 1/3(disz) sila3 4(disz) gin2 naga u4 1(u) 1(disz)-kam iti {d}li9-si4 mu si-ma-num2{ki} ba-hul ... ", sila fine beer sila bread shekels onions shekels oil shekels alkali plant for sila fine beer sila bread shekels onions shekels oil shekels alkali plant for utu  sila fine beer sila bread shekels onions shekels oil shekels alkali plant for lu duga sila beer sila bread shekels onions shekels oil shekels alkali plant for sila beer sila bread shekels onions shekels oil shekels alkali plant for lu  sila beer sila bread shekels onions shekels oil shekels alkali plant for allya sila beer sila bread shekels onions shekels oil shekels alkali plant for ur baba sila beer sila bread shekels onions shekels oil shekels alkali plant for ullniya sila beer sila bread shekels onions shekels oil shekels alkali plant for blulu sila beer sila bread shekels onions shekels oil shekels alkali plant for suugi sila beer sila bread shekels onions shekels oil shekels alkali plant for sz inanna sila beer sila bread shekels onions shekels oil shekels alkali plant for szamu total ban sila fine beer total ban sila common beer total ban sila bread total sila onions total sila shekels oil total sila shekels alkali plant th day month lisi year simanum was destroyed,day sila good beer day sila pole day unit one unit unit one oil unit potash of for day sila good beer day sila pole day unit one unit unit one oil unit potash for for Utu day sila good beer day sila pole day unit one unit unit one oil unit potash Luduga day beer day sila pole day unit one unit unit one oil unit potash for day sila beer day sila pole day unit one unit unit one oil unit for day sila beer day sila pole day unit one unit unit one oil unit potash for day sila beer day sila pole day unit one unit unit one oil unit potash Urbaba one sila one beer sila pole day unit one unit unit one oil unit potash of for ullniya one sila one beer sila pole day unit one unit unit one oil unit potash for one sila one beer sila pole day unit one unit unit one oil unit potash for one sila one beer sila pole day unit one unit unit one oil unit potash for Sz Inanna one sila one beer sila pole day unit one unit unit one oil unit potash for Szamu total unit day sila good beer total unit day sila went beer total unit day sila pole one total sila unit one total one sila unit oil one total one sila unit potash one day his is of one unit in Lisi year Simanum place <n>,for inanna 5 sila3 fine beer 5 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant,19.41551943609408,0.002364714804641715
5,P203075.conll,pisan-dub-ba nigin-ba gu4-apin gub-ba u3 szabra-ne i3-gal2 mu , basket of tablets grand totals of plow oxen stationed and chief household administrators are here year,filing_basket this of <n> assigned plow oxen and managers life in year,basket of tablets grand totals of plowoxen and chief household administrators are here year,20.404622767722167,78.6469258947084
6,P108689.conll,1(ban2) zi3 sig15 lugal 2(disz) sa gi ninda gur4-ra 2(disz) sa {gesz}ma-nu 2(disz) bur-zi ne-ne-si-sze3 1(ban2) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du 2(ban2) kasz du gi-ra-num2-sze3 ur-{d}li9-si4 maszkim 1(ban2) zi3 sig15 2(disz) sa gi ninda gur4-ra 2(disz) sa {gesz}ma-nu 2(disz) bur-zi ne-ne-si-sze3 1(barig) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du siskur2 {gesz}kiri6 {d}inanna {d}szul-gi-zi-mu maszkim 2(ban2) zi3 sig15 4(disz) sa gi ninda gur4-ra 2(disz) sa {gesz}ma-nu 2(disz) bur-zi ne-ne-si-sze3 1(barig) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du siskur2 sza3 e2-gal er3-re-eb maszkim 1(ban2) zi3 sig15 2(disz) sa gi ninda gur4-ra 1(barig) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du 2(ban2) kasz du gi-ra-num2-sze3 5(ban2) 5(disz) sila3 zi3 sig15 5(disz) sila3 zu2-lum 1(u) gin2 i3-gesz 1(u) sa gi gug2-sze3 2(disz) sa {gesz}ma-nu 2(disz) bur-zi ne-ne-si-sze3 1(barig) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du 1(disz) sila3 sze sa gu2-gal-gal 1(disz) sila3 sze sa gu2-tur-tur 1(disz) sila3 sze sa gig 1(disz) sila3 sze sa imgaga3 1(disz) sila3 sze sa sze in-nu-ha 1(disz) sila3 gu2-gal-gal mu2-a 1(disz) sila3 gu2-tur-tur mu2-a 1(disz) sila3 gig mu2-a 1(disz) sila3 imgaga3 mu2-a 1(disz) sila3 sze in-nu-ha mu2-a 1(disz) sila3 gu2-gal-gal x x 1(disz) sila3 gu2-tur-tur x x 1(disz) sila3 sze-gesz-i3 ... 1(disz) sila3 sze-gesz-i3 ... 1(disz) sila3 sze-gesz-i3 ... ma2 an-na-sze3 sza3 ... zi-ga iti ezem-an-na mu ki-masz{ki} ba-hul , ban groats royal bundles reed fatbreads bundles poplar ban flour sila ea barig beer dida regular ban beer regular for wailing ceremony ur lisa enforcer ban groats bundles reed fatbreads bundles poplar barig flour sila ea barig beer dida regular offering of garden of inanna szulgi zimu enforcer ban groats bundles reed fatbreads bundles poplar barig flour sila ea barig beer dida regular offering in palace erreb enforcer ban groats bundles reed fatbreads barig flour sila ea barig beer dida regular ban beer regular for wailing ceremony ban sila groats sila dates shekels plant oil bundles reed for cakes bundles poplar barig flour sila ea barig beer regular sila barley chickpeas sila barley lentils sila barley sila barley sila barley straw sila chickpeas grown sila lentils grown sila wheat grown sila grown sila barley straw grown sila chickpeas sila lentils sila sesame oil sila sesame oil sila sesame oil for boat of an in booked out month festival of an year kima was destroyed,unit unit flour_type one king unit reed pole <vblex> one unit one wood <np> ne ne _ sze3 unit semolina day sila flour at <n> unit beer went sweet_wort unit went beer <n> Urlisi administrator unit unit one flour_type unit reed pole <vblex> one unit one wood <np> ne ne _ sze3 unit semolina day sila flour at <n> unit beer went sweet_wort offering orchard of Inanna Szulgirzimu administrator unit unit one flour_type unit reed pole <vblex> one unit one wood <np> ne ne _ sze3 unit semolina day sila flour at <n> unit beer went sweet_wort offering heart palace from Erreb administrator unit unit one flour_type unit reed pole <vblex> unit semolina day sila flour at <n> unit beer went sweet_wort unit went beer <n> seal day sila unit flour_type day sila one date unit one oil unit reed towards his <n> one unit one wood <np> ne ne _ sze3 unit semolina day sila flour at <n> unit beer went sweet_wort one sila unit unit <np> one sila unit unit <np> one sila unit unit one resin_type sila unit unit <n> one sila unit unit unit <n> one sila <np> that he <vblex> towards him one sila <np> that he <vblex> towards him one sila that resin_type <vblex> towards him one sila <n> that he <vblex> towards him one sila unit <n> that he <vblex> towards him one sila <np> _ one _ sila <np> _ one _ sila sesame_seed <n> one sila sesame_seed <n> one sila sesame_seed <n> ship of An heart <n> raised unit from Ezemanna year Kimasz place,2 1 ban2 groats 2 bundles reed fatbreads 1 barig 2 ban2 2 sila3 common beer 1 barig 1 ban2 2 sila3 bread,3.7802997674026213,0.048951441355440925
7,P206146.conll,pisan-dub-ba , basket of tablets years wool rations of female weavers foreman abbagula foreman utu bae foreman kuda and are here year enmagalana,filing_basket,basket of tablets,0.0,0.24787521766663584
8,P118757.conll,pisan-dub-ba nig2-ka9-ak arad2 ka-guru7 mu 4(disz)-kam i3-gal2 mu en {d}nanna masz2-e i3-pa3-ta mu ki-masz{ki} ba-hul-sze3 , basket of tablets xxx xxx xxx xxx xxx xxx,filing_basket account arad2 supervisor his is of one year life in year priest Nanna at goat xxx year Kimasz was destroyed to,basket of tablets accounts of ploughs workmen extra year the highpriestess of nanna was hired,4.349112706206131,18.386454304498372
9,P209503.conll,8(disz) gurusz u4 4(u)-sze3 a2-bi u4 5(gesz2) 2(u) a-da gub-ba a-sza3 amar-{gesz}kiszi17 a-sza3 muru13 a-sza3 i7 lugal-ka a-de2-a ka i7 e3-ka ku5-ra2 ka i7 e3-ta a-sza3 amar-{gesz}kiszi17 x-da-sze3 szu-ur3-ra ugula ... x giri3 ... kiszib3 e2-gal-e-si mu us2-sa {d}szu-{d}suen lugal-e bad3 mar-tu mu-du3 , workmen for days the labor days at water stationed the field amar kii the field center the field royal waterway water poured intake of out waterway cut off from intake of out waterway to field amar kii leveled foreman via under seal of egalesi year following szu suen king martu wall erected,king male day his is of <num> its labor sixty day ten <np> assigned field to field Muru field river of royal Irrigation mouth river cut intake out waterway off mouth from intake out waterway river field to of Amar kii leveled overseer <n> _ foot <n> unit of Egalesi followed year Szusuen king wall Martu n towards him,8 workmen for 4 days the labor 25 days irrigation work in the field amarkii leveled field center,27.599735829756966,7.698150270343211
